"序号","分类","英文原文(Term)","中文名称(Zh Name)","第一层：人话通俗听感解释(Tier 1)","第二层：Suno实战怎么用(Tier 2)","第三层：提示词与效果示例(Tier 3)","一键复制标签代码(Prompt Tag)","当前校对状态","专家校对与修改意见(批注填写区)"
"1","一、制作人核心功能与界面按钮","Custom","自定义模式 (制作人开关)","关闭时，你只能输入一句话（如“写首下雨天的歌”），由 AI 全权瞎猜并自动生成歌词；打开后，你变成专业制作人，可以自己填词、选流派、定歌名、控制结构。","【强烈推荐默认常开】在页面上方找到 Custom 开关打开。打开后会展开 Lyrics（歌词框）、Style of Music（风格框）和 Title（标题框）。","关闭状态：只生成随缘口水歌；
打开状态：可以用 [Verse]、[Chorus] 配合各种专业风格进行精准编曲控制。","Custom Mode: ON","draft",""
"2","一、制作人核心功能与界面按钮","Instrumental","纯音乐 / 无人声伴奏","开启后整首歌只有乐器演奏，不会出现任何人类唱歌或说话的声音。相当于常说的伴奏带、背景音乐（BGM）。","点击打开 Instrumental 开关后，歌词输入框（Lyrics）会自动消失或被禁用，只保留 Style of Music（风格框）。","适用场景：做视频背景音乐、咖啡厅轻音乐、助眠白噪音、播客片头垫乐。","Instrumental","draft",""
"3","一、制作人核心功能与界面按钮","Extend","续写 / 延长歌曲","Suno 一次通常只生成 2~4 分钟。如果这首歌没唱完，或者你觉得意犹未尽想再加一段尾奏，可以用这个功能从指定时间点接着往后创作。","在喜欢的歌曲右侧点击“三点菜单”选择 Extend。设置“Extend from”（从几分几秒接着唱），然后在输入框里写新段落的歌词（如结尾 [Outro]）。生成后点击 Get Whole Song 即可拼合成完整长歌。","原曲 01:50 突然戛然而止 -> 设置 Extend from 01:45 -> 歌词框写 [Chorus] 再接 [Outro] -> 完美收尾。","Extend from mm:ss","draft",""
"4","一、制作人核心功能与界面按钮","Get Stems","分轨提取 (人声与伴奏分离)","把一首合成好的完整歌曲像变魔术一样“拆解”，剥离成独立的两条音轨：一条是干净纯净的人声（Vocal），另一条是没有人声的纯乐器伴奏（Instrumental）。","点击歌曲右侧的菜单，选择 Get Stems。Suno 会消耗少量点数生成两个单独的音频条目供你试听和分别下载。","实战用途：
1. 提取伴奏去唱 KTV；
2. 提取干声放到剪映、Logic、FL Studio 里重新混音对齐。","Separate Vocals & Music","draft",""
"5","一、制作人核心功能与界面按钮","Reuse Prompt","复用提示词与参数","“一键抄作业”。把你或别人某首特别成功的歌所用的全部配方（歌词、风格词、使用的模型版本）原封不动拷贝回左侧编辑区，方便微调。","在任意一首歌的菜单中点击 Reuse Prompt。左侧的 Style 和 Lyrics 会瞬间被填满，你只需改动其中几个词即可重掷骰子。","看到别人做出的蒸汽波非常带感，点击 Reuse Prompt，把歌词换成你自己的情书，即可生成同款质感的新歌。","Reuse","draft",""
"6","一、制作人核心功能与界面按钮","Replace Section","局部重绘 / 局部替换修歌","整首歌旋律 90% 都很绝，偏偏某句歌词发音跑调、或者中间有段杂音？这个功能就是“橡皮擦”，只把选定时间范围内的那几秒重新生成，其余完美部分保持不变。","在歌曲菜单选 Edit Song -> Replace Section。拖动波形上的起始滑块选定问题区间（比如 00:45 - 00:52），修改该区间的歌词或微调风格后重新生成。","00:30 秒处的中文多音字念错了 -> 框选 00:28 到 00:33 -> 修正同音字重新生成。","Inpainting","draft",""
"7","一、制作人核心功能与界面按钮","Crop Audio","裁剪音频","类似手机相册里的裁切照片。直接把歌曲开头多余的冗长空白、或者结尾拖沓难听的杂音直接切掉。","在菜单选择 Crop Audio，拖动左端或右端时间指针，保存为一个新的干净音频片段。","歌曲前 15 秒没有任何声音在干等 -> 拖动左端滑块至 00:15 -> 保存为干净利落的开头。","Trim","draft",""
"8","一、制作人核心功能与界面按钮","Create Persona","固定歌手音色 (虚拟歌手人设)","Suno 每次生成的歌手声音都是随机的。如果你很喜欢某首歌里那个女声/男声的独特磁性音色，用这个功能可以把这个“虚拟歌手”永久保存下来，以后写新歌还能让她/他继续当主唱。","在满意歌曲的菜单点击 Create Persona，输入歌手名字（如“赛博甜心”）。在后续写新歌时勾选该 Persona 即可锁定音色。","为你的虚拟偶像或音乐频道打造始终如一的专属声音辨识度。","Persona","draft",""
"9","一、制作人核心功能与界面按钮","Exclude Styles","排除风格 (负向提示词)","告诉 AI“绝对不要出现什么”。比如你想要宁静的吉他曲，但 AI 老是给你加上轰隆隆的架子鼓或吵闹的电子噪音，你就可以把它们拉进黑名单。","在高级选项（Advanced Options）中展开 Exclude Styles 输入框，用英文逗号隔开你讨厌的元素。","想要清澈民谣时在排除框填入：drums, heavy bass, electronic synths, autotune, screaming","Exclude: drums, autotune","draft",""
"10","一、制作人核心功能与界面按钮","Weirdness","离谱度 / 创新冒险系数","控制 AI 的“天马行空程度”。拉到最低时，AI 会严格按最经典的流行套路出牌，安全但平庸；拉高时，AI 会尝试大胆怪异的和弦、奇特的变调或意外乐器，惊喜与翻车并存。","在高级设置中调节滑块。日常做流行歌建议保持在默认中低档（0.2-0.5）；做先锋实验音乐或想要脑洞大开时拉到 0.8 以上。","低档：标准商业电台情歌；高档：充满迷幻音效与超现实转调的实验乐章。","Creativity / Temperature","draft",""
"11","一、制作人核心功能与界面按钮","Cover Song","翻唱 / 重混风格 (曲风重构)","保留原歌的歌词和核心旋律走向，但彻底换一种完全不同的乐器和曲风去演奏（例如把一首重金属摇滚爆改变成柔情似水的爵士乐，或把抒情民谣改造成动感 EDM）。","在已有音频旁点击 Create Cover，然后输入全新的 Style of Music 风格词，点击生成即可获得全新风味的改编版本。","原曲是深情流行慢歌 -> Cover 输入 'bossa nova, acoustic nylon guitar, cafe vibes' -> 瞬间变身午后咖啡厅波萨诺瓦。","Cover / Remix","draft",""
"12","一、制作人核心功能与界面按钮","Upload Audio","上传参考音频 (用自己的哼唱起手)","把你用手机录下的 6-60 秒自己清唱、口哨哼唱或吉他弹奏的语音片段上传给 Suno，让 AI 顺着你原创的调子继续往下编曲编整首歌。","在左侧侧边栏点击 Upload Audio，上传你的录音。上传完成后，对该片段点击 Extend，输入风格词与后续歌词即可扩写成完整大作。","洗澡时哼了一句灵感旋律录下来 -> 上传 -> Suno 自动配上架子鼓、和声和贝斯展开成 3 分钟大歌。","Upload & Extend","draft",""
"13","一、制作人核心功能与界面按钮","Model v3.5 / v4","生成引擎版本 (v3.5 与 v4 区别)","• v3.5：生成速度快、曲风包容度极广、旋律洗脑流畅，但音质偶尔有轻微数字压缩感；
• v4：旗舰发烧引擎，人声咬字极其清晰、母带级声场与乐器细节爆炸，编曲更具层次。","在输入区顶部切换模型版本。新手起稿测旋律可用 v3.5 快速试错；正式定稿作品强烈建议选用 v4。","草稿构思：v3.5
高质量母带发布：v4","Model Version: v4","draft",""
"14","二、歌曲结构骨干语法","[Intro]","前奏 / 引子","歌曲刚开始时的引子，歌手还没开口前的纯音乐铺垫。用来定基调、抓人耳朵，告诉听众这是一首欢快的歌还是一首悲伤的歌。","写在歌词文本框的最第一行。在方括号后可加上听感描述指令引导编曲气氛。","[Intro: Soft acoustic guitar picking, gentle rain sounds]
（空两行后再进入正文歌词）","[Intro]","draft",""
"15","二、歌曲结构骨干语法","[Verse]","主歌 (叙事铺垫段落)","歌曲讲故事的部分。旋律通常平稳、娓娓道来，歌词字数相对较多，负责交代时间、地点、心情，像小说里的开场白。","通常标记为 [Verse 1]、[Verse 2]。第一遍主歌通常在 Intro 之后，第二遍通常在第一次副歌结束之后。","[Verse 1]
街角的咖啡店已经打烊，
路灯拉长了倒影摇晃。
手中的温热渐渐变凉，
你在哪个远方？","[Verse 1]","draft",""
"16","二、歌曲结构骨干语法","[Pre-Chorus]","导歌 / 预副歌 (副歌前的情绪爬坡)","连接主歌和副歌的“斜坡”。旋律开始逐渐高亢，鼓点开始密集，听众一听就明白：“马上就要到高潮大合唱了！”","紧跟在 [Verse] 后面，放 2 句情绪递进的歌词，字数尽量简短有力。","[Pre-Chorus: Building energy, rising strings]
心跳在加速，
呼吸在屏住——","[Pre-Chorus]","draft",""
"17","二、歌曲结构骨干语法","[Chorus]","副歌 / 高潮 (最抓耳的核心乐段)","整首歌的灵魂与高潮！所有人都会跟着大合唱的那几句，旋律最洗脑、情感最饱满、乐器编曲最丰富（鼓点最响、贝斯最重）。","一首歌通常出现 2~3 次。歌词要押韵、朗朗上口，Suno 遇到 [Chorus] 会自动爆发更强烈的乐器动态。","[Chorus: Powerful emotional vocals, full band drop]
只要你还在我身旁，
黑夜就能点亮星光！
哪怕风暴撕裂过往，
我们依然在破浪飞翔！","[Chorus]","draft",""
"18","二、歌曲结构骨干语法","[Bridge]","桥段 / 过渡转折段","像歌曲高潮快结束时，突然换了个调子或节奏，让听众耳朵一亮的新鲜段落，专门为最后一次大高潮蓄力。避免整首歌千篇一律的疲劳感。","通常放在第二遍副歌（Chorus 2）之后。适合填入 2~4 句反思性、升华主题的歌词，或者写乐器独奏。","[Bridge: Tempo slows down, intimate voice]
当所有的喧嚣都已散去，
才懂得最沉默的期许，
都是关于你。","[Bridge]","draft",""
"19","二、歌曲结构骨干语法","[Drop]","高潮爆发点 (电音/舞曲灵魂)","在电子音乐、舞曲中，前奏把气氛憋得极紧、鼓点像倒计时一样越来越急促之后，猛然爆发出的最震撼、最想让人蹦迪的节奏高潮！","做 EDM、House、Dubstep 等舞曲时必用。通常前一节写 [Build-Up]，下一节紧跟 [Drop]。","[Build-Up: Rising synth, fast snare roll]
3... 2... 1...
[Drop: Heavy bassline, festival lead, high energy beat]","[Drop]","draft",""
"20","二、歌曲结构骨干语法","[Hook]","记忆钩子 / 毒性洗脑句","像鱼钩一样死死勾住听众耳朵的极简短句或拟声词（比如“Nobody nobody but you”）。听一遍就忘不掉。","写在副歌之后或贯穿全曲，通常是 1~2 句极其押韵、高度重复的核心金句。","[Hook]
Catch me if you can, yeah!
Catch me if you can!","[Hook]","draft",""
"21","二、歌曲结构骨干语法","[Guitar Solo]","吉他独奏段","主唱退到一边喝水，由电吉他或木吉他手站在聚光灯下飙技秀一段极其华丽、狂野或深情的独奏旋律。","常放在 [Bridge] 或第二次副歌之后。标签后可描述风格（如 passionate, melodic, shredding），其下方不需要写任何歌词。","[Bridge]
让回忆燃烧殆尽……
[Guitar Solo: Passionate electric guitar, soaring melodic lead]
[Chorus: Final Explosion]","[Guitar Solo: Melodic and passionate]","draft",""
"22","二、歌曲结构骨干语法","[Piano Solo]","钢琴独奏段","没有人声歌唱，钢琴像溪水流淌或雨滴敲打窗台一样轻盈弹奏，营造出极度静谧、优雅与感伤的情绪空间。","适合抒情民谣、慢情歌（Ballad）或新古典音乐。放在主歌与副歌之间，或作为高潮后的沉淀。","[Piano Solo: Intimate upright piano, melancholy arpeggios]
[Outro: Soft whisper]","[Piano Solo: Melancholy and gentle]","draft",""
"23","二、歌曲结构骨干语法","[Build-Up]","情绪爬坡 / 能量蓄力段","像坐过山车缓缓爬向最高顶点的那个阶段！鼓点越来越密集，合成器音调不断升高，心跳加速，专门为即将引爆的副歌或 Drop 做铺垫。","放在 [Verse] 或 [Pre-Chorus] 之后，[Drop] 或 [Chorus] 之前。可搭配军鼓滚奏（Snare Roll）或白色噪音上升音效（Riser）。","[Build-Up: Accelerating drum rolls, rising pitch synth riser]
准备好了吗？
[Drop]","[Build-Up: Rising energy]","draft",""
"24","二、歌曲结构骨干语法","[Breakdown]","间隙拆解 / 乐器骤减段","在高潮之后突然把所有喧闹的架子鼓和厚重的乐器全部“抽走”，只留下最简单的节拍或单把吉他，让听众瞬间从狂热中冷静下来喘口气。","用于制造强烈的动静态对比。通常放在第二段副歌后，给下一波最终高潮积蓄更大的冲击力。","[Chorus]
全场疯狂起舞！
[Breakdown: Drums cut out, only minimal bass synth and subtle click]
心跳声，呼吸声……","[Breakdown: Minimal instruments]","draft",""
"25","二、歌曲结构骨干语法","[Outro]","尾奏 / 尾声","歌曲快要唱完时的收尾。乐器逐渐变轻、歌手哼唱或轻轻叹息，让歌曲自然平稳地落幕，避免突然被掐断。","放在歌词的最末尾。可以搭配 [Fade Out]（渐渐淡出）指示 Suno 音量渐小结束。","[Outro: Piano fading out, gentle whisper]
晚安，世界。
[Fade Out]
[End]","[Outro]","draft",""
"26","二、歌曲结构骨干语法","[Fade Out]","音量渐弱淡出","声音越来越小、越来越轻，仿佛歌手走进了远方的雾气中，直到完全听不见。","写在 [Outro] 下方最后一行。帮助 Suno 平滑收音，避免在最后一秒产生未唱完的截断破音。","[Outro]
La la la...
[Fade Out]
[End]","[Fade Out]","draft",""
"27","三、演唱风格与人声情绪","[Whisper]","耳语 / 贴耳气声呢喃","就像歌手贴在你耳朵边轻轻叹息、悄悄倾诉，完全不用声带死力唱，充满极强的私密感、脆弱感与氛围感（类似 ASMR 或 Billie Eilish 的唱腔）。","写在需要极度安静抒情的歌词前面（通常用于深夜独白、主歌开头或歌曲最后的 Outro 告白）。","[Whisper: Soft intimate voice, ASMR style]
如果你还听得见……
这就是我最后的秘密。","[Whisper: Soft, intimate]","draft",""
